text,category
เครปญี่ปุ่น,อาหารและเครื่องดื่ม
น้ำเต้าหู้ปาท่องโก๋,อาหารและเครื่องดื่ม
ไปตลาดซื้อหมูสามชั้น,อาหารและเครื่องดื่ม
ซื้อผักสดมาทำกับข้าว,อาหารและเครื่องดื่ม
ไข่ไก่ 1 แผง,อาหารและเครื่องดื่ม
น้ำปลา น้ำตาล เครื่องปรุง,อาหารและเครื่องดื่ม
ซื้อของสดแม็คโคร,อาหารและเครื่องดื่ม
จ่ายตลาดทำกับข้าว,อาหารและเครื่องดื่ม
ซื้อเนื้อวัวทำสเต็ก,อาหารและเครื่องดื่ม
ซื้ออาหารทะเล,อาหารและเครื่องดื่ม
ข้าวสาร 1 กระสอบ,อาหารและเครื่องดื่ม
สั่งไลน์แมนข้าวผัด,อาหารและเครื่องดื่ม
ค่าแกร็บฟู้ด,อาหารและเครื่องดื่ม
สั่งฟู้ดแพนด้า,อาหารและเครื่องดื่ม
ค่าส่งอาหารช้อปปี้ฟู้ด,อาหารและเครื่องดื่ม
สั่งพิซซ่า,อาหารและเครื่องดื่ม
KFC ชุดโปรโมชั่น,อาหารและเครื่องดื่ม
แมคโดนัลด์,อาหารและเครื่องดื่ม
สั่งโรบินฮู้ดของกิน,อาหารและเครื่องดื่ม
เข้าเซเว่นซื้อของกิน,อาหารและเครื่องดื่ม
ซื้อไส้กรอกเซเว่น,อาหารและเครื่องดื่ม
แซนวิชอบร้อน,อาหารและเครื่องดื่ม
ซื้อข้าวกล่องเซเว่น,อาหารและเครื่องดื่ม
ซาลาเปาเซเว่น,อาหารและเครื่องดื่ม
กินตี๋น้อย,อาหารและเครื่องดื่ม
บุฟเฟ่ต์ปิ้งย่าง,อาหารและเครื่องดื่ม
ชาบูชิ,อาหารและเครื่องดื่ม
กินเลี้ยงปีใหม่,อาหารและเครื่องดื่ม
หารค่าข้าวกับเพื่อน,อาหารและเครื่องดื่ม
โอมากาเสะ,อาหารและเครื่องดื่ม
กินข้าวบนห้าง,อาหารและเครื่องดื่ม
หมูกระทะเยียวยาจิตใจ,อาหารและเครื่องดื่ม
ค่าข้าวกล่องประชุม,อาหารและเครื่องดื่ม
ค่าเบียร์ 3 ขวด,อาหารและเครื่องดื่ม
ค่าเหล้าปั่น,อาหารและเครื่องดื่ม
นั่งชิลร้านเหล้า,อาหารและเครื่องดื่ม
หารค่าเหล้ากับเพื่อน,อาหารและเครื่องดื่ม
ซื้อไวน์ 1 ขวด,อาหารและเครื่องดื่ม
ข้าวมื้อเช้า,อาหารและเครื่องดื่ม
กินข้าวเที่ยง,อาหารและเครื่องดื่ม
มื้อเย็นร้านป้าจุก,อาหารและเครื่องดื่ม
หิวรอบดึก ซื้อมาม่า,อาหารและเครื่องดื่ม
ข้าวกล่องมื้อเที่ยง,อาหารและเครื่องดื่ม
ข้าวเช้าบวกกาแฟ,อาหารและเครื่องดื่ม
แวะกินข้าวหลังเลิกงาน,อาหารและเครื่องดื่ม
โดนค่ากาแฟไป,อาหารและเครื่องดื่ม
ค่าข้าว,อาหารและเครื่องดื่ม
ค่าน้ำ,อาหารและเครื่องดื่ม
ข้าวขาหมูเนื้อหนัง,อาหารและเครื่องดื่ม
ต้มเลือดหมูข้าวเปล่า,อาหารและเครื่องดื่ม
ยำวุ้นเส้นทะเล,อาหารและเครื่องดื่ม
ข้าวหมกไก่,อาหารและเครื่องดื่ม
ราดหน้าหมูหมัก,อาหารและเครื่องดื่ม
ผัดกะเพราคลุก,อาหารและเครื่องดื่ม
สุกี้น้ำ,อาหารและเครื่องดื่ม
ข้าวเหนียวหมูทอด,อาหารและเครื่องดื่ม
ตำป่า,อาหารและเครื่องดื่ม
ข้าวคลุกกะปิ,อาหารและเครื่องดื่ม
ข้าวแกงโรงอาหาร,อาหารและเครื่องดื่ม
กาแฟสหกรณ์โรงเรียน,อาหารและเครื่องดื่ม
เลี้ยงข้าวนักเรียน,อาหารและเครื่องดื่ม
ซื้อขนมเบรกประชุม,อาหารและเครื่องดื่ม
หารค่าพิซซ่ากับเพื่อนที่ทำงาน,อาหารและเครื่องดื่ม
ซื้อน้ำแจกตอนกีฬาสี,อาหารและเครื่องดื่ม
ข้าวเที่ยงโรงอาหาร,อาหารและเครื่องดื่ม
เหมาลูกชิ้นเลี้ยงเด็ก,อาหารและเครื่องดื่ม
จ่ายค่ากับข้าวให้ที่บ้าน,อาหารและเครื่องดื่ม
โกโก้ปั่น,อาหารและเครื่องดื่ม
มัทฉะลาเต้,อาหารและเครื่องดื่ม
นมข้นหวาน,อาหารและเครื่องดื่ม
ชามะนาว,อาหารและเครื่องดื่ม
น้ำส้มคั้น,อาหารและเครื่องดื่ม
กล้วยทอด,อาหารและเครื่องดื่ม
ปาท่องโก๋น้ำเต้าหู้,อาหารและเครื่องดื่ม
ขนมจีบซาลาเปา,อาหารและเครื่องดื่ม
แซนวิชทูน่า,อาหารและเครื่องดื่ม
เยลลี่ในเซเว่น,อาหารและเครื่องดื่ม
สเลอปี้,อาหารและเครื่องดื่ม
ซื้อน้ำมันหอยกับซีอิ๊ว,อาหารและเครื่องดื่ม
พริกแกงกะทิ,อาหารและเครื่องดื่ม
ซื้อปลาทูมาทอด,อาหารและเครื่องดื่ม
เห็ดเข็มทองกับผักกาดขาว,อาหารและเครื่องดื่ม
กุ้งสดทำต้มยำ,อาหารและเครื่องดื่ม
เนื้อหมูสไลด์,อาหารและเครื่องดื่ม
เข้าโลตัสซื้อของกินเข้าตู้เย็น,อาหารและเครื่องดื่ม
แตงโมครึ่งซีก,อาหารและเครื่องดื่ม
ซื้อผลไม้ไหว้พระ,อาหารและเครื่องดื่ม
ซื้อพริกกระเทียม,อาหารและเครื่องดื่ม
กินซูชิสายพาน,อาหารและเครื่องดื่ม
หมาล่าสายพาน,อาหารและเครื่องดื่ม
ชาบูหมาล่า,อาหารและเครื่องดื่ม
คอร์นด็อก,อาหารและเครื่องดื่ม
ไก่ป๊อป,อาหารและเครื่องดื่ม
เฟรนช์ฟรายส์ชีส,อาหารและเครื่องดื่ม
สอยชานมไข่มุกไป,อาหารและเครื่องดื่ม
แดกปิ้งย่าง,อาหารและเครื่องดื่ม
ข้าวผัดหมู,อาหารและเครื่องดื่ม
ข้าวไข่ข้นกุ้ง,อาหารและเครื่องดื่ม
ต้มยำทะเลน้ำข้น,อาหารและเครื่องดื่ม
แกงเขียวหวานไก่,อาหารและเครื่องดื่ม
หมูทอดกระเทียมพริกไทย,อาหารและเครื่องดื่ม
ผัดซีอิ๊วเส้นใหญ่,อาหารและเครื่องดื่ม
ราดหน้าทะเล,อาหารและเครื่องดื่ม
สุกี้แห้งไก่,อาหารและเครื่องดื่ม
ข้าวหมูแดงหมูกรอบ,อาหารและเครื่องดื่ม
บะหมี่เกี๊ยวน้ำ,อาหารและเครื่องดื่ม
ยำมาม่าหมูยับ,อาหารและเครื่องดื่ม
ต้มซุปเปอร์ขาไก่,อาหารและเครื่องดื่ม
ลาบหมู,อาหารและเครื่องดื่ม
น้ำตกเนื้อ,อาหารและเครื่องดื่ม
คอหมูย่าง,อาหารและเครื่องดื่ม
ข้าวเหนียวมะม่วง,อาหารและเครื่องดื่ม
ข้าวหลาม,อาหารและเครื่องดื่ม
ไก่ย่างวิเชียรบุรี,อาหารและเครื่องดื่ม
ปลาเผาเกลือ,อาหารและเครื่องดื่ม
หอยแครงลวก,อาหารและเครื่องดื่ม
ชามะนาวเย็น,อาหารและเครื่องดื่ม
ชาดำเย็น,อาหารและเครื่องดื่ม
น้ำเก๊กฮวย,อาหารและเครื่องดื่ม
น้ำลำไย,อาหารและเครื่องดื่ม
น้ำแข็งไส,อาหารและเครื่องดื่ม
ลอดช่องน้ำกะทิ,อาหารและเครื่องดื่ม
บัวลอยไข่หวาน,อาหารและเครื่องดื่ม
ทับทิมกรอบ,อาหารและเครื่องดื่ม
ไอศกรีมกะทิสด,อาหารและเครื่องดื่ม
กล้วยบวชชี,อาหารและเครื่องดื่ม
มันรังนก,อาหารและเครื่องดื่ม
ขนมเบื้อง,อาหารและเครื่องดื่ม
ขนมโตเกียว,อาหารและเครื่องดื่ม
เครปเย็น,อาหารและเครื่องดื่ม
มาการอง,อาหารและเครื่องดื่ม
ชีสเค้ก,อาหารและเครื่องดื่ม
บราวนี่,อาหารและเครื่องดื่ม
ไดฟุกุ,อาหารและเครื่องดื่ม
โมจิ,อาหารและเครื่องดื่ม
ทาร์ตไข่,อาหารและเครื่องดื่ม
ซื้อเนื้อหมูบด,อาหารและเครื่องดื่ม
สะโพกไก่,อาหารและเครื่องดื่ม
ปีกไก่บน,อาหารและเครื่องดื่ม
กุ้งขาว,อาหารและเครื่องดื่ม
หมึกกล้วย,อาหารและเครื่องดื่ม
ปลาทับทิม,อาหารและเครื่องดื่ม
ปลากะพง,อาหารและเครื่องดื่ม
หอยแมลงภู่,อาหารและเครื่องดื่ม
ผักบุ้งจีน,อาหารและเครื่องดื่ม
คะน้า,อาหารและเครื่องดื่ม
กะหล่ำปลี,อาหารและเครื่องดื่ม
แครอท,อาหารและเครื่องดื่ม
มะเขือเทศ,อาหารและเครื่องดื่ม
หอมหัวใหญ่,อาหารและเครื่องดื่ม
กระเทียมไทย,อาหารและเครื่องดื่ม
พริกขี้หนู,อาหารและเครื่องดื่ม
น้ำปลาแท้,อาหารและเครื่องดื่ม
ซอสหอยนางรม,อาหารและเครื่องดื่ม
ซีอิ๊วขาว,อาหารและเครื่องดื่ม
น้ำตาลทรายแดง,อาหารและเครื่องดื่ม
แวะซื้อกาแฟก่อนเข้างาน,อาหารและเครื่องดื่ม
กินข้าวหมูแดงพักเที่ยง,อาหารและเครื่องดื่ม
หารค่าข้าวเย็นกับพี่ที่ออฟฟิศ,อาหารและเครื่องดื่ม
เลี้ยงวันเกิดลูกน้องที่ออฟฟิศ,อาหารและเครื่องดื่ม
ซื้อน้ำดื่มเลี้ยงกีฬา,อาหารและเครื่องดื่ม
ค่าสวัสดิการอาหารกลางวัน,อาหารและเครื่องดื่ม
ซื้อของว่างจัดเบรก,อาหารและเครื่องดื่ม
ซื้อขนมฝากเพื่อนที่ทำงาน,อาหารและเครื่องดื่ม
กินข้าวกล่องตอนประชุม,อาหารและเครื่องดื่ม
ซื้อส้มตำมากินด้วยกัน,อาหารและเครื่องดื่ม
เหมาไอติมงานโรงเรียน,อาหารและเครื่องดื่ม
ค่าข้าวเย็นตอนทำโอที,อาหารและเครื่องดื่ม
ซื้อของกินเข้าบ้านวันหยุด,อาหารและเครื่องดื่ม
ตุนมาม่าไว้สิ้นเดือน,อาหารและเครื่องดื่ม
จ่ายค่ากับข้าวตอนเช้า,อาหารและเครื่องดื่ม
ซื้อของใส่บาตร,อาหารและเครื่องดื่ม
ซื้อข้าวเหนียวหมูปิ้งหน้าโรงเรียน,อาหารและเครื่องดื่ม
แวะซื้อน้ำหวานตอนพัก,อาหารและเครื่องดื่ม
กินข้าวไข่เจียวประหยัดๆ,อาหารและเครื่องดื่ม
ซื้อลูกชิ้นทอดแบ่งกันกิน,อาหารและเครื่องดื่ม
กินบอนชอน,อาหารและเครื่องดื่ม
สั่งคิวคิว,อาหารและเครื่องดื่ม
กินสุกี้ตี๋น้อย,อาหารและเครื่องดื่ม
ซัดหมูกระทะ,อาหารและเครื่องดื่ม
ไปกินชาบู,อาหารและเครื่องดื่ม
แดกบุฟเฟ่ต์,อาหารและเครื่องดื่ม
จัดปิ้งย่าง,อาหารและเครื่องดื่ม
หารค่าส้มตำ,อาหารและเครื่องดื่ม
กินข้าวข้างทาง,อาหารและเครื่องดื่ม
สั่งฟู้ดเดลิเวอรี่,อาหารและเครื่องดื่ม
กดสั่งแกร็บ,อาหารและเครื่องดื่ม
เรียกไลน์แมนซื้อข้าว,อาหารและเครื่องดื่ม
สั่งพิซซ่าถาดกลาง,อาหารและเครื่องดื่ม
สเวนเซ่นส์,อาหารและเครื่องดื่ม
แดรี่ควีน,อาหารและเครื่องดื่ม
เบอร์เกอร์คิง,อาหารและเครื่องดื่ม
ซับเวย์,อาหารและเครื่องดื่ม
ทาโก้เบลล์,อาหารและเครื่องดื่ม
อานตี้แอนส์,อาหารและเครื่องดื่ม
มิสเตอร์โดนัท,อาหารและเครื่องดื่ม
เติมน้ำมัน,การเดินทาง
เติมแก๊ส,การเดินทาง
เติม E20,การเดินทาง
เติม 95,การเดินทาง
เติมดีเซล,การเดินทาง
ค่าน้ำมัน,การเดินทาง
ค่าน้ำมันรถ,การเดินทาง
เติมน้ำมันมอไซค์,การเดินทาง
แวะปั๊มเติมน้ำมัน,การเดินทาง
ค่าน้ำมันรถยนต์,การเดินทาง
เติมน้ำมันไปทำงาน,การเดินทาง
เติม E85,การเดินทาง
เติมเบนซิน,การเดินทาง
เติมแก๊สโซฮอล์,การเดินทาง
เติมน้ำมัน PTT,การเดินทาง
เติมน้ำมันบางจาก,การเดินทาง
เติมน้ำมันเชลล์,การเดินทาง
ค่าน้ำมันกลับบ้าน,การเดินทาง
เติมน้ำมันเต็มถัง,การเดินทาง
แวะเติมน้ำมัน,การเดินทาง
ค่าแก๊ส LPG,การเดินทาง
ค่าแก๊ส NGV,การเดินทาง
ค่าน้ำมันเดินทาง,การเดินทาง
ค่าน้ำมันไปเที่ยว,การเดินทาง
หารค่าน้ำมันกับเพื่อน,การเดินทาง
ช่วยเพื่อนออกค่าน้ำมัน,การเดินทาง
ค่าน้ำมันรถกระบะ,การเดินทาง
ค่าน้ำมันรถตู้,การเดินทาง
ค่าน้ำมันรายสัปดาห์,การเดินทาง
ค่าน้ำมันรายเดือน,การเดินทาง
ค่าทางด่วน,การเดินทาง
ขึ้นทางด่วน,การเดินทาง
เติม Easy Pass,การเดินทาง
เติม M-Pass,การเดินทาง
ค่าที่จอดรถ,การเดินทาง
ค่าจอดรถบนห้าง,การเดินทาง
ค่าจอดรถรายเดือน,การเดินทาง
จ่ายค่าทางด่วน,การเดินทาง
ค่ามอเตอร์เวย์,การเดินทาง
ค่าจอดรถสนามบิน,การเดินทาง
แสตมป์บัตรจอดรถ,การเดินทาง
ค่าจอดรถสยาม,การเดินทาง
ค่าทางด่วนไปทำงาน,การเดินทาง
ค่าทางด่วนกลับบ้าน,การเดินทาง
ค่าจอดรถรายชั่วโมง,การเดินทาง
ค่าจอดรถตลาด,การเดินทาง
ค่าโทลเวย์,การเดินทาง
ขึ้นโทลเวย์,การเดินทาง
ค่าผ่านทาง,การเดินทาง
จ่ายค่าที่จอดรถ,การเดินทาง
เติมบัตรทางด่วน,การเดินทาง
ค่าจอดรถคอนโด,การเดินทาง
ค่าจอดรถออฟฟิศ,การเดินทาง
ค่าฝากรถ,การเดินทาง
ค่ารับฝากรถมอไซค์,การเดินทาง
ล้างรถ,การเดินทาง
ล้างสีดูดฝุ่น,การเดินทาง
ค่าซ่อมรถ,การเดินทาง
เปลี่ยนยางรถยนต์,การเดินทาง
ถ่ายน้ำมันเครื่อง,การเดินทาง
ต่อภาษีรถยนต์,การเดินทาง
ต่อ พรบ รถยนต์,การเดินทาง
ต่อ พรบ มอไซค์,การเดินทาง
ค่าเปลี่ยนแบตเตอรี่,การเดินทาง
ค่าซ่อมมอไซค์,การเดินทาง
ปะยาง,การเดินทาง
เติมลมไนโตรเจน,การเดินทาง
เปลี่ยนผ้าเบรค,การเดินทาง
ค่าตรวจสภาพรถ,การเดินทาง
ค่าเคลือบแก้ว,การเดินทาง
ล้างมอเตอร์ไซค์,การเดินทาง
ค่าอะไหล่รถ,การเดินทาง
ซ่อมแอร์รถ,การเดินทาง
จ่ายค่าซ่อมรถ,การเดินทาง
ค่าบำรุงรักษารถ,การเดินทาง
เช็คระยะรถยนต์,การเดินทาง
เอารถเข้าศูนย์,การเดินทาง
ค่าต่อทะเบียนรถ,การเดินทาง
เปลี่ยนหัวเทียน,การเดินทาง
ค่าล้างแอร์รถยนต์,การเดินทาง
เติมบัตร BTS,การเดินทาง
แตะบัตร MRT,การเดินทาง
ค่ารถไฟฟ้า,การเดินทาง
เติมบัตรแรบบิท,การเดินทาง
ค่าตั๋วรถไฟใต้ดิน,การเดินทาง
นั่งแอร์พอร์ตลิงก์,การเดินทาง
นั่งสายสีแดง,การเดินทาง
นั่งสายสีเหลือง,การเดินทาง
เติมบัตรแมงมุม,การเดินทาง
ค่ารถไฟฟ้าไปทำงาน,การเดินทาง
ค่ารถไฟฟ้ารายเดือน,การเดินทาง
ซื้อตั๋วรถไฟ,การเดินทาง
นั่งรถไฟกลับต่างจังหวัด,การเดินทาง
ซื้อเที่ยวรถไฟฟ้า,การเดินทาง
นั่ง BTS กลับหอ,การเดินทาง
ค่า MRT,การเดินทาง
เติมเงินบัตรโดยสาร,การเดินทาง
นั่งรถเมล์,การเดินทาง
ค่ารถเมล์,การเดินทาง
ค่ารถเมล์แอร์,การเดินทาง
ค่าตั๋วรถเมล์,การเดินทาง
นั่งเรือด่วน,การเดินทาง
นั่งเรือคลองแสนแสบ,การเดินทาง
ค่าตั๋วเรือข้ามฟาก,การเดินทาง
นั่งรถสองแถว,การเดินทาง
ค่ารถสองแถวหน้าปากซอย,การเดินทาง
ขึ้นรถเมล์ไปทำงาน,การเดินทาง
นั่งรถเมล์ร้อน,การเดินทาง
นั่ง BRT,การเดินทาง
ซื้อตั๋วรถไฟสปรินเตอร์,การเดินทาง
นั่งวินมอไซค์,การเดินทาง
ค่าวินหน้าปากซอย,การเดินทาง
นั่งวินไปบีทีเอส,การเดินทาง
เรียกแท็กซี่,การเดินทาง
ค่าแท็กซี่,การเดินทาง
นั่งแท็กซี่กลับบ้าน,การเดินทาง
เรียกแกร็บคาร์,การเดินทาง
เรียก Grab,การเดินทาง
นั่ง Bolt,การเดินทาง
เรียก inDrive,การเดินทาง
เรียก LINE MAN Ride,การเดินทาง
เรียก Robinhood Ride,การเดินทาง
ค่าวินไปทำงาน,การเดินทาง
นั่งแท็กซี่ไปสนามบิน,การเดินทาง
นั่งรถตุ๊กตุ๊ก,การเดินทาง
ค่าตุ๊กตุ๊ก,การเดินทาง
นั่งวินกลับหอพัก,การเดินทาง
เรียกวินมอไซค์,การเดินทาง
ค่าแกร็บไบค์,การเดินทาง
นั่งรถกะป๊อ,การเดินทาง
เรียกแท็กซี่มิเตอร์,การเดินทาง
เหมาแท็กซี่,การเดินทาง
นั่งแกร็บกลับดึก,การเดินทาง
หารค่าแท็กซี่กับเพื่อน,การเดินทาง
นั่งแกร็บไปมหาลัย,การเดินทาง
เรียกแกร็บวิน,การเดินทาง
นั่ง Maxim,การเดินทาง
นั่ง MuvMi,การเดินทาง
เรียกตุ๊กตุ๊กไฟฟ้า,การเดินทาง
เรียกแท็กซี่ผ่านแอป,การเดินทาง
นั่งรถรับจ้าง,การเดินทาง
เหมาสองแถว,การเดินทาง
นั่งรถสามล้อ,การเดินทาง
นั่งวินไปต่อรถ,การเดินทาง
เรียกรถผ่านแอป,การเดินทาง
ซื้อตั๋วเครื่องบิน,การเดินทาง
ค่าตั๋วเครื่องบินไปเที่ยว,การเดินทาง
จองตั๋วแอร์เอเชีย,การเดินทาง
จองตั๋วไลอ้อนแอร์,การเดินทาง
ซื้อตั๋วรถทัวร์,การเดินทาง
ค่ารถทัวร์กลับบ้าน,การเดินทาง
ซื้อตั๋วรถตู้,การเดินทาง
นั่งรถตู้ไปต่างจังหวัด,การเดินทาง
ค่าคิวรถตู้,การเดินทาง
นั่งรถมินิบัส,การเดินทาง
ค่าตั๋วเครื่องบินกลับบ้าน,การเดินทาง
นั่งเครื่องบินไปเชียงใหม่,การเดินทาง
ค่ารถทัวร์นครชัยแอร์,การเดินทาง
ค่ารถตู้เข้ากรุงเทพ,การเดินทาง
จองตั๋วรถไฟตู้นอน,การเดินทาง
ค่าโหลดสัมภาระ,การเดินทาง
ค่าเลือกที่นั่งเครื่องบิน,การเดินทาง
ค่ารถโดยสารประจำทาง,การเดินทาง
ซื้อตั๋ว บขส,การเดินทาง
นั่งรถสมบัติทัวร์,การเดินทาง
นั่งรถทัวร์วีไอพี,การเดินทาง
จ่ายค่าตั๋วรถตู้,การเดินทาง
ค่าตั๋วเรือเฟอร์รี่,การเดินทาง
ซื้อตั๋วเครื่องบินนกแอร์,การเดินทาง
ค่าพาหนะเดินทางต่างจังหวัด,การเดินทาง
ค่าเดินทางไปทำงาน,การเดินทาง
ค่ารถไปโรงเรียน,การเดินทาง
ให้ค่ารถลูก,การเดินทาง
ค่าเดินทางไปคุยงาน,การเดินทาง
เบิกค่าเดินทาง,การเดินทาง
ค่ารถกลับบ้าน,การเดินทาง
ค่ารถไปเที่ยว,การเดินทาง
เดินทางไปสัมมนา,การเดินทาง
ค่าพาหนะ,การเดินทาง
จ่ายค่ารถ,การเดินทาง
ค่ารถเข้าเมือง,การเดินทาง
นั่งรถไปหาเพื่อน,การเดินทาง
นั่งรถกลับจากปาร์ตี้,การเดินทาง
นั่งรถกลับดึก,การเดินทาง
ค่ารถออกไปทำธุระ,การเดินทาง
ค่ารถไปตลาด,การเดินทาง
นั่งรถไปห้าง,การเดินทาง
นั่งรถไปหาหมอ,การเดินทาง
นั่งรถกลับบ้านต่างจังหวัด,การเดินทาง
นั่งรถไปทำบุญ,การเดินทาง
เหมารถตู้ไปเที่ยว,การเดินทาง
หารค่ารถตู้,การเดินทาง
แชร์ค่ารถ,การเดินทาง
ให้ค่าเดินทาง,การเดินทาง
นั่งรถกลับจากโรงเรียน,การเดินทาง
นั่งรถไปติวเตอร์,การเดินทาง
ค่าเดินทางไปสอบ,การเดินทาง
นั่งรถไปซื้อของ,การเดินทาง
นั่งรถกลับหอ,การเดินทาง
ค่าเดินทางไปทัศนศึกษา,การเดินทาง
จ่ายค่าไฟบ้าน,บิลและของใช้ในบ้าน
ค่าน้ำเดือนนี้,บิลและของใช้ในบ้าน
บิลค่าไฟ,บิลและของใช้ในบ้าน
จ่ายค่าน้ำประปา,บิลและของใช้ในบ้าน
บิลค่าน้ำ,บิลและของใช้ในบ้าน
จ่ายค่าเน็ตบ้าน,บิลและของใช้ในบ้าน
ค่าเน็ต 3BB,บิลและของใช้ในบ้าน
จ่ายทรูวิชั่นส์,บิลและของใช้ในบ้าน
เติมเงินมือถือ,บิลและของใช้ในบ้าน
ค่าโทรศัพท์รายเดือน,บิลและของใช้ในบ้าน
จ่ายบิล AIS,บิลและของใช้ในบ้าน
ค่าแพ็กเกจเน็ต,บิลและของใช้ในบ้าน
ค่าบริการมือถือ,บิลและของใช้ในบ้าน
จ่ายค่าไฟผ่านแอป,บิลและของใช้ในบ้าน
ค่าน้ำหอพัก,บิลและของใช้ในบ้าน
บิลค่าเน็ตทรู,บิลและของใช้ในบ้าน
จ่ายบิลดีแทค,บิลและของใช้ในบ้าน
เติมเน็ตมือถือ,บิลและของใช้ในบ้าน
ค่าเน็ตคอนโด,บิลและของใช้ในบ้าน
ชำระค่าไฟฟ้า,บิลและของใช้ในบ้าน
ชำระค่าน้ำ,บิลและของใช้ในบ้าน
ค่าเน็ตรายเดือน,บิลและของใช้ในบ้าน
เติมเงินโทรศัพท์,บิลและของใช้ในบ้าน
จ่ายค่าไฟให้แม่,บิลและของใช้ในบ้าน
ค่าน้ำประปาส่วนภูมิภาค,บิลและของใช้ในบ้าน
การไฟฟ้านครหลวง,บิลและของใช้ในบ้าน
ชำระบิลอินเทอร์เน็ต,บิลและของใช้ในบ้าน
จ่ายค่าเคเบิลทีวี,บิลและของใช้ในบ้าน
ค่าอินเทอร์เน็ตไฟเบอร์,บิลและของใช้ในบ้าน
ซื้อแพ็กเกจเสริมเน็ต,บิลและของใช้ในบ้าน
จ่ายค่าไฟค้างชำระ,บิลและของใช้ในบ้าน
ค่าปรับจ่ายบิลช้า,บิลและของใช้ในบ้าน
ค่าน้ำประปานครหลวง,บิลและของใช้ในบ้าน
บิลโทรศัพท์บ้าน,บิลและของใช้ในบ้าน
ค่าโทรศัพท์ออฟฟิศ,บิลและของใช้ในบ้าน
เติมเงินซิม,บิลและของใช้ในบ้าน
ซื้อเน็ตไม่อั้น,บิลและของใช้ในบ้าน
จ่ายค่าไฟหอ,บิลและของใช้ในบ้าน
ชำระบิลค่าน้ำ,บิลและของใช้ในบ้าน
ค่าไฟเดือนที่แล้ว,บิลและของใช้ในบ้าน
ค่าเช่าหอพัก,บิลและของใช้ในบ้าน
ค่าเช่าบ้าน,บิลและของใช้ในบ้าน
จ่ายค่าเช่าคอนโด,บิลและของใช้ในบ้าน
ค่าส่วนกลางคอนโด,บิลและของใช้ในบ้าน
ค่าส่วนกลางหมู่บ้าน,บิลและของใช้ในบ้าน
จ่ายค่าเช่าห้อง,บิลและของใช้ในบ้าน
บิลค่าเช่า,บิลและของใช้ในบ้าน
ค่าบริการเก็บขยะ,บิลและของใช้ในบ้าน
ค่าจ้างแม่บ้านทำความสะอาด,บิลและของใช้ในบ้าน
ค่าบริการล้างแอร์,บิลและของใช้ในบ้าน
ช่างมาซ่อมท่อน้ำ,บิลและของใช้ในบ้าน
ค่าลอกท่อ,บิลและของใช้ในบ้าน
ค่าสูบส้วม,บิลและของใช้ในบ้าน
